Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,10000000,Mining and Logging,300,200,-100,-0.333
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,20000000,Construction,18700,20600,1900,0.102
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,20238000,Specialty Trade Contractors,12700,13700,1000,0.079
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,30000000,Manufacturing,25900,26400,500,0.019
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,31000000,Durable Goods Manufacturing,9100,9100,0,0
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,32000000,Nondurable Goods Manufacturing,16800,17300,500,0.03
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,32311000,Food Manufacturing,12300,12600,300,0.024
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,40000000,"Trade, Transportation, and Utilities",68200,71100,2900,0.043
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,41000000,Wholesale Trade,14400,14900,500,0.035
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,42000000,Retail Trade,39100,39000,-100,-0.003
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,42445000,Food and Beverage Stores,7800,8200,400,0.051
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,42452000,General Merchandise Stores,8300,8700,400,0.048
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",14700,17300,2600,0.177
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,43400089,Transportation and Warehousing,12400,14900,2500,0.202
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,50000000,Information,3600,3700,100,0.028
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,55000000,Financial Activities,14100,14600,500,0.035
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,55520000,Finance and Insurance,9200,9300,100,0.011
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,55524000,Insurance Carriers and Related Activities,5100,5300,200,0.039
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,55530000,Real Estate and Rental and Leasing,5000,5300,300,0.06
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60000000,Professional and Business Services,32500,34900,2400,0.074
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60540000,"Professional, Scientific, and Technical Services",11200,12000,800,0.071
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60550000,Management of Companies and Enterprises,2400,2500,100,0.042
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,18900,20400,1500,0.079
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60561000,Administrative and Support Services,17500,18800,1300,0.074
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,60562000,Waste Management and Remediation Services,1400,1600,200,0.143
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",69300,81800,12500,0.18
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65610000,Educational Services (Private),3800,4300,500,0.132
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65620000,Health Care and Social Assistance,65500,77500,12000,0.183
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65621000,Ambulatory Health Care Services,18500,23200,4700,0.254
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65622000,Hospitals (Private),14200,15600,1400,0.099
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65623000,Nursing and Residential Care Facilities,8000,9000,1000,0.125
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,65624000,Social Assistance,24900,29700,4800,0.193
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,70000000,Leisure and Hospitality,34500,38800,4300,0.125
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,70720000,Accommodation and Food Services,30900,34900,4000,0.129
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,70722000,Food Services and Drinking Places,28300,32300,4000,0.141
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),11900,12400,500,0.042
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90000000,Government,74500,77000,2500,0.034
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90910000,Federal Government,10000,10100,100,0.01
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90940000,State and Local Government,64600,66900,2300,0.036
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90920000,State Government,12600,12800,200,0.016
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90921611,State Government Education,4000,4100,100,0.025
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90930000,Local Government,51900,54100,2200,0.042
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90931611,Local Government Education,35400,36500,1100,0.031
Metropolitan Area,Fresno MSA (Fresno County),2018-2028,90932000,Local Government Excluding Education,16600,16300,-300,-0.018
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,000001,Total Employment,51400,54600,3200,0.062
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,006010,Self Employment,2700,2800,100,0.037
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,008010,Private Household Workers,40,80,40,1
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,11000000,Total Farm,7600,6800,-800,-0.105
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,0,Total Nonfarm,41100,44900,3800,0.092
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,15000000,"Mining, Logging, and Construction",1000,1100,100,0.1
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,30000000,Manufacturing,4900,6000,1100,0.224
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,40000000,"Trade, Transportation, and Utilities",7300,7600,300,0.041
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,41000000,Wholesale Trade,600,600,0,0
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,42000000,Retail Trade,4500,4600,100,0.022
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",2200,2400,200,0.091
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,50000000,Information,200,100,-100,-0.5
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,55000000,Financial Activities,900,1000,100,0.111
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,60000000,Professional and Business Services,1200,1300,100,0.083
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",6400,7300,900,0.141
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,70000000,Leisure and Hospitality,3600,4100,500,0.139
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),700,700,0,0
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90000000,Government,14900,15700,800,0.054
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90910000,Federal Government,1200,1200,0,0
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90940000,State and Local Government,13700,14500,800,0.058
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90920000,State Government,5400,5600,200,0.037
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90930000,Local Government,8300,8900,600,0.072
Metropolitan Area,Hanford-Corcoran MSA (Kings County),2018-2028,90932000,Local Government Excluding Education,4000,4300,300,0.075
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,000001,Total Employment,4842300,5269800,427500,0.088
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,006010,Self Employment,306400,332000,25600,0.084
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,008010,Private Household Workers,13200,11900,-1300,-0.098
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,11000000,Total Farm,4600,3800,-800,-0.174
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,0,Total Nonfarm,4518100,4922100,404000,0.089
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,10000000,Mining and Logging,1900,1900,0,0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20000000,Construction,146300,162700,16400,0.112
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20236000,Construction of Buildings,36600,41900,5300,0.145
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20236100,Residential Building Construction,21400,26000,4600,0.215
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20236200,Nonresidential Building Construction,15100,15900,800,0.053
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20237000,Heavy and Civil Engineering Construction,15100,15500,400,0.026
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238000,Specialty Trade Contractors,94600,105300,10700,0.113
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",19700,22700,3000,0.152
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238200,Building Equipment Contractors,41900,46200,4300,0.103
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238300,Building Finishing Contractors,22600,25600,3000,0.133
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,20238900,Other Specialty Trade Contractors,10400,10800,400,0.038
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,30000000,Manufacturing,341200,300900,-40300,-0.118
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31000000,Durable Goods Manufacturing,199800,181700,-18100,-0.091
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31331000,Primary Metal Manufacturing,6000,5200,-800,-0.133
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31332000,Fabricated Metal Product Manufacturing,43300,39900,-3400,-0.079
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31333000,Machinery Manufacturing,13800,12600,-1200,-0.087
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31334000,Computer and Electronic Product Manufacturing,39000,34000,-5000,-0.128
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",22500,20100,-2400,-0.107
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31335000,"Electrical Equipment, Appliance, and Component Manufacturing",9200,8000,-1200,-0.13
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31336000,Transportation Equipment Manufacturing,46900,45700,-1200,-0.026
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31336400,Aerospace Product and Parts Manufacturing,37500,37100,-400,-0.011
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31337000,Furniture and Related Product Manufacturing,13200,9900,-3300,-0.25
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,8600,5800,-2800,-0.326
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,31339000,Miscellaneous Manufacturing,19000,17500,-1500,-0.079
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32000000,Nondurable Goods Manufacturing,141300,119200,-22100,-0.156
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311000,Food Manufacturing,40200,38500,-1700,-0.042
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311500,Dairy Product Manufacturing,4300,3800,-500,-0.116
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311600,Animal Slaughtering and Processing,4500,4200,-300,-0.067
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32311800,Bakeries and Tortilla Manufacturing,15600,15000,-600,-0.038
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32313000,Textile Mills,4500,3000,-1500,-0.333
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32315000,Apparel Manufacturing,28000,17200,-10800,-0.386
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32315200,Cut and Sew Apparel Manufacturing,25900,15800,-10100,-0.39
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32322000,Paper Manufacturing,6500,5800,-700,-0.108
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32323000,Printing and Related Support Activities,13000,8700,-4300,-0.331
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32324000,Petroleum and Coal Products Manufacturing,5600,5000,-600,-0.107
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32325000,Chemical Manufacturing,19300,19300,0,0
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32325400,Pharmaceutical and Medicine Manufacturing,7700,8900,1200,0.156
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,32326000,Plastics and Rubber Products Manufacturing,12000,9800,-2200,-0.183
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,40000000,"Trade, Transportation, and Utilities",851600,899700,48100,0.056
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41000000,Wholesale Trade,223200,229500,6300,0.028
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",103200,101100,-2100,-0.02
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,12800,12100,-700,-0.055
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,15800,15300,-500,-0.032
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423600,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,12700,12100,-600,-0.047
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",15300,14400,-900,-0.059
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41423900,Miscellaneous Durable Goods Merchant Wholesalers,19100,19200,100,0.005
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",108600,120100,11500,0.106
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",26500,30600,4100,0.155
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424400,Grocery and Related Product Merchant Wholesalers,40900,46500,5600,0.137
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41424900,Miscellaneous Nondurable Goods Merchant Wholesalers,14900,15600,700,0.047
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,11400,8300,-3100,-0.272
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42000000,Retail Trade,424800,443000,18200,0.043
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441000,Motor Vehicle and Parts Dealers,46900,48000,1100,0.023
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441100,Automobile Dealers,32900,35300,2400,0.073
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441200,Other Motor Vehicle Dealers,1900,2100,200,0.105
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42441300,"Automotive Parts, Accessories, and Tire Stores",12000,10600,-1400,-0.117
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42442000,Furniture and Home Furnishings Stores,13900,14600,700,0.05
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42443000,Electronics and Appliance Stores,17300,15000,-2300,-0.133
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,24800,26100,1300,0.052
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42445000,Food and Beverage Stores,92500,100000,7500,0.081
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42445100,Grocery Stores,80800,88500,7700,0.095
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42446000,Health and Personal Care Stores,33500,35700,2200,0.066
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42447000,Gasoline Stations,12300,12600,300,0.024
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42448000,Clothing and Clothing Accessories Stores,60300,63700,3400,0.056
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",13700,11000,-2700,-0.197
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451100,"Sporting Goods, Hobby, and Musical Instrument Stores",11200,9400,-1800,-0.161
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42451200,Book Stores and News Dealers,2500,1600,-900,-0.36
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452000,General Merchandise Stores,68200,70500,2300,0.034
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452200,Department Stores,26100,17300,-8800,-0.337
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42452300,"General Merchandise Stores, including Warehouse Clubs and Supercenters",42100,53200,11100,0.264
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42453000,Miscellaneous Store Retailers,24800,23900,-900,-0.036
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,42454000,Nonstore Retailers,16700,21900,5200,0.311
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",203600,227200,23600,0.116
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43220000,Utilities,11500,11000,-500,-0.043
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43400089,Transportation and Warehousing,192100,216200,24100,0.125
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43481000,Air Transportation,33700,31100,-2600,-0.077
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43484000,Truck Transportation,31400,35700,4300,0.137
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43485000,Transit and Ground Passenger Transportation,11300,12200,900,0.08
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43488000,Support Activities for Transportation,59200,68900,9700,0.164
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43492000,Couriers and Messengers,29000,36200,7200,0.248
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,43493000,Warehousing and Storage,19900,24400,4500,0.226
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50000000,Information,216400,235500,19100,0.088
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50511000,Publishing Industries (except Internet),17800,19300,1500,0.084
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50511100,"Newspaper, Periodical, Book, and Directory Publishers",7500,5100,-2400,-0.32
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50512000,Motion Picture and Sound Recording Industries,132000,144000,12000,0.091
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515000,Broadcasting (except Internet),24100,26100,2000,0.083
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515100,Radio and Television Broadcasting,18400,19700,1300,0.071
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50515200,Cable and Other Subscription Programming,5600,6400,800,0.143
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50517000,Telecommunications,19700,16600,-3100,-0.157
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,50518000,"Data Processing, Hosting, and Related Services",8500,10100,1600,0.188
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55000000,Financial Activities,223200,224900,1700,0.008
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55520000,Finance and Insurance,136500,130600,-5900,-0.043
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522000,Credit Intermediation and Related Activities,59900,56600,-3300,-0.055
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522100,Depository Credit Intermediation,40000,36800,-3200,-0.08
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522200,Nondepository Credit Intermediation,12000,11800,-200,-0.017
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55522300,Activities Related to Credit Intermediation,7900,8000,100,0.013
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",26600,27700,1100,0.041
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524000,Insurance Carriers and Related Activities,50100,46300,-3800,-0.076
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524100,Insurance Carriers,21600,18400,-3200,-0.148
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55524200,"Agencies, Brokerages, and Other Insurance Related Activities",28500,27900,-600,-0.021
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55530000,Real Estate and Rental and Leasing,86700,94300,7600,0.088
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531000,Real Estate,65700,72500,6800,0.104
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531100,Lessors of Real Estate,19000,19700,700,0.037
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531200,Offices of Real Estate Agents and Brokers,14200,15200,1000,0.07
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55531300,Activities Related to Real Estate,32500,37600,5100,0.157
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,55539999,Real Estate and Rental and Leasing - Residual,21000,21800,800,0.038
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60000000,Professional and Business Services,630400,691900,61500,0.098
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60540000,"Professional, Scientific, and Technical Services",291300,326300,35000,0.12
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541100,Legal Services,52800,54800,2000,0.038
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",45200,46900,1700,0.038
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541300,"Architectural, Engineering, and Related Services",34500,36600,2100,0.061
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541500,Computer Systems Design and Related Services,37500,44600,7100,0.189
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541600,"Management, Scientific, and Technical Consulting Services",51300,66500,15200,0.296
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541700,Scientific Research and Development Services,17700,21900,4200,0.237
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60541800,"Advertising, Public Relations, and Related Services",25300,25700,400,0.016
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60550000,Management of Companies and Enterprises,62900,64900,2000,0.032
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,276200,300700,24500,0.089
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561000,Administrative and Support Services,265000,287700,22700,0.086
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561300,Employment Services,103500,111400,7900,0.076
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561400,Business Support Services,15200,14500,-700,-0.046
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561500,Travel Arrangement and Reservation Services,9200,8100,-1100,-0.12
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561600,Investigation and Security Services,51700,60200,8500,0.164
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,60561700,Services to Buildings and Dwellings,48700,53500,4800,0.099
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",821300,1015900,194600,0.237
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65610000,Educational Services (Private),131300,155200,23900,0.182
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65611100,Elementary and Secondary Schools,30500,35600,5100,0.167
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65611300,"Colleges, Universities, and Professional Schools",71800,84500,12700,0.177
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65620000,Health Care and Social Assistance,690100,860700,170600,0.247
Metropolitan Area,Los Angeles-Long Beach-Glendale MD (Los Angeles County),2018-2028,65621000,Ambulatory Health Care Services,226600,273000,46400,0.205
